InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
166557,67056,Blue T-Shirt,1,2023-01-03 14:00:00,48.2,10987,Germany
177189,37490,Pen Set,5,2023-01-03 15:00:00,26.68,10416,Netherlands
178953,29975,Red Plate,3,2023-01-03 16:00:00,24.01,10356,Germany
152995,36723,White Mug,1,2023-01-03 17:00:00,15.74,10382,Germany
140757,33279,Blue T-Shirt,12,2023-01-03 18:00:00,48.05,10808,France
109692,88301,Blue T-Shirt,3,2023-01-03 19:00:00,9.28,10157,Germany
145758,21561,Pen Set,14,2023-01-03 20:00:00,30.04,10568,India
172409,76061,Red Plate,6,2023-01-03 21:00:00,15.92,10432,France
171211,98397,Red Plate,14,2023-01-03 22:00:00,15.75,10047,United Kingdom
165697,59153,Pen Set,7,2023-01-03 23:00:00,21.74,10327,France
137065,43142,Red Plate,8,2023-01-04 00:00:00,49.94,10432,Germany
192093,36916,Water Bottle,13,2023-01-04 01:00:00,5.11,10430,India
199299,74324,Notebook,11,2023-01-04 02:00:00,29.98,10055,France
132606,54965,Water Bottle,4,2023-01-04 03:00:00,6.42,10576,India
111534,14648,White Mug,3,2023-01-04 04:00:00,9.84,10267,United Kingdom
194663,45133,Blue T-Shirt,5,2023-01-04 05:00:00,23.38,10068,Spain
140397,60677,White Mug,9,2023-01-04 06:00:00,26.75,10727,United Kingdom
191387,80135,Blue T-Shirt,13,2023-01-04 07:00:00,14.79,10901,Spain
101016,45046,Notebook,6,2023-01-04 08:00:00,17.53,10600,Netherlands
189789,57064,Red Plate,9,2023-01-04 09:00:00,6.63,10448,Spain
155591,79350,Water Bottle,6,2023-01-04 10:00:00,16.9,10792,Netherlands
189812,55893,Pen Set,2,2023-01-04 11:00:00,48.41,10256,France
123247,71272,Water Bottle,13,2023-01-04 12:00:00,47.37,10671,Netherlands
124300,77649,Notebook,5,2023-01-04 13:00:00,18.41,10489,India
174065,74674,White Mug,12,2023-01-04 14:00:00,29.62,10745,Netherlands
182798,23760,Pen Set,11,2023-01-04 15:00:00,45.71,10642,India
109268,31927,Red Plate,9,2023-01-04 16:00:00,2.79,10048,Spain
186807,96475,Notebook,8,2023-01-04 17:00:00,41.01,10658,Spain
112185,71367,Pen Set,7,2023-01-04 18:00:00,47.55,10315,Spain
163704,22588,Notebook,1,2023-01-04 19:00:00,6.84,10412,Netherlands
186779,62233,Notebook,4,2023-01-04 20:00:00,10.17,10433,Spain
139099,54738,Red Plate,12,2023-01-04 21:00:00,48.14,10001,Netherlands
108571,43397,Blue T-Shirt,7,2023-01-04 22:00:00,28.03,10840,Netherlands
138044,92189,Pen Set,11,2023-01-04 23:00:00,3.17,10951,Germany
151214,86367,Red Plate,7,2023-01-05 00:00:00,14.74,10144,Germany
161228,81260,Notebook,6,2023-01-05 01:00:00,23.87,10955,Netherlands
148984,86619,Red Plate,8,2023-01-05 02:00:00,35.41,10365,India
140774,29816,Blue T-Shirt,11,2023-01-05 03:00:00,37.33,10419,France
102568,52240,Water Bottle,13,2023-01-05 04:00:00,49.78,10572,United Kingdom
162592,16276,Pen Set,6,2023-01-05 05:00:00,16.16,10784,Germany
167563,89530,Blue T-Shirt,10,2023-01-05 06:00:00,28.07,10560,Netherlands
102695,33499,White Mug,3,2023-01-05 07:00:00,27.83,10843,United Kingdom
148190,98576,Pen Set,4,2023-01-05 08:00:00,21.77,10443,Germany
105258,92495,Blue T-Shirt,14,2023-01-05 09:00:00,10.54,10915,France
187538,81635,Notebook,3,2023-01-05 10:00:00,48.93,10433,India
139504,95112,Pen Set,1,2023-01-05 11:00:00,43.03,10642,Netherlands
133159,45946,Pen Set,10,2023-01-05 12:00:00,26.17,10554,France
113986,65204,Red Plate,5,2023-01-05 13:00:00,31.15,10056,Germany
161858,61886,Notebook,1,2023-01-05 14:00:00,13.29,10561,Netherlands
112666,81652,White Mug,1,2023-01-05 15:00:00,28.33,10963,United Kingdom
138660,25563,Water Bottle,2,2023-01-05 16:00:00,35.51,10976,Spain
103561,19847,Blue T-Shirt,13,2023-01-05 17:00:00,26.97,10177,India
126854,36155,Red Plate,4,2023-01-05 18:00:00,49.54,10292,Germany
164505,89671,Blue T-Shirt,6,2023-01-05 19:00:00,31.54,10045,India
152251,93310,White Mug,8,2023-01-05 20:00:00,20.12,10169,Netherlands
122662,77278,White Mug,13,2023-01-05 21:00:00,39.18,10270,Spain
108392,28309,Pen Set,3,2023-01-05 22:00:00,10.6,10416,France
130535,10619,White Mug,1,2023-01-05 23:00:00,20.76,10847,India
178603,93194,Blue T-Shirt,3,2023-01-06 00:00:00,18.98,10138,United Kingdom
152256,60108,Notebook,12,2023-01-06 01:00:00,23.01,10246,Germany
189135,44707,Notebook,3,2023-01-06 02:00:00,39.63,10147,United Kingdom
135222,30337,Pen Set,5,2023-01-06 03:00:00,25.5,10229,India
177373,91537,Water Bottle,11,2023-01-06 04:00:00,40.22,10791,Spain
179575,76504,Blue T-Shirt,12,2023-01-06 05:00:00,29.88,10636,France
196354,57614,Blue T-Shirt,12,2023-01-06 06:00:00,18.75,10703,France
184651,10281,White Mug,4,2023-01-06 07:00:00,40.97,10373,United Kingdom
163335,37420,Blue T-Shirt,13,2023-01-06 08:00:00,13.82,10079,Netherlands
110965,90896,Red Plate,4,2023-01-06 09:00:00,13.16,10605,Netherlands
124538,49030,Water Bottle,9,2023-01-06 10:00:00,26.46,10737,Spain
170592,11058,White Mug,7,2023-01-06 11:00:00,14.89,10064,France
198018,96213,Red Plate,4,2023-01-06 12:00:00,2.93,10087,United Kingdom
108110,86260,Pen Set,3,2023-01-06 13:00:00,33.29,10087,United Kingdom
179309,38404,Notebook,6,2023-01-06 14:00:00,26.78,10712,United Kingdom
127266,39856,Pen Set,3,2023-01-06 15:00:00,23.66,10725,India
152992,19200,Notebook,6,2023-01-06 16:00:00,48.43,10203,Spain
182948,74178,Pen Set,11,2023-01-06 17:00:00,29.63,10912,Netherlands
198806,43997,Blue T-Shirt,13,2023-01-06 18:00:00,43.51,10381,Netherlands
106910,35611,Red Plate,11,2023-01-06 19:00:00,9.12,10600,India
190982,51235,Notebook,13,2023-01-06 20:00:00,29.54,10475,Germany
100206,45057,White Mug,13,2023-01-06 21:00:00,43.73,10572,India
187054,11239,Red Plate,12,2023-01-06 22:00:00,30.2,10782,Spain
187897,75661,White Mug,9,2023-01-06 23:00:00,36.61,10605,United Kingdom
123419,55272,Red Plate,6,2023-01-07 00:00:00,20.17,10818,India
150636,99393,Red Plate,12,2023-01-07 01:00:00,6.89,10538,United Kingdom
150015,71212,Pen Set,4,2023-01-07 02:00:00,24.25,10213,Spain
154268,25398,Notebook,5,2023-01-07 03:00:00,21.24,10073,Spain
187939,66503,Notebook,13,2023-01-07 04:00:00,43.69,10060,France
118141,16638,Red Plate,6,2023-01-07 05:00:00,14.09,10697,United Kingdom
180356,16570,Blue T-Shirt,11,2023-01-07 06:00:00,48.42,10542,Netherlands
171910,78785,Blue T-Shirt,3,2023-01-07 07:00:00,48.01,10218,India
156044,19110,White Mug,8,2023-01-07 08:00:00,14.26,10011,Spain
167214,89141,White Mug,4,2023-01-07 09:00:00,19.03,10813,United Kingdom
133827,22115,Pen Set,8,2023-01-07 10:00:00,45.04,10414,Germany
155820,49062,Red Plate,10,2023-01-07 11:00:00,48.41,10031,France
162623,32911,White Mug,10,2023-01-07 12:00:00,23.56,10159,Germany
181734,42556,White Mug,3,2023-01-07 13:00:00,17.75,10236,Spain
175450,88131,Water Bottle,10,2023-01-07 14:00:00,27.49,10738,Germany
193426,11969,Red Plate,7,2023-01-07 15:00:00,35.17,10180,Germany
122299,53753,Pen Set,11,2023-01-07 16:00:00,15.49,10828,France
143585,92811,White Mug,13,2023-01-07 17:00:00,37.48,10557,France
164044,14470,Pen Set,12,2023-01-07 18:00:00,4.95,10340,France
142557,20225,Notebook,9,2023-01-07 19:00:00,4.84,10457,France
149080,33196,Pen Set,4,2023-01-07 20:00:00,20.85,10079,Germany
102693,23669,Blue T-Shirt,8,2023-01-07 21:00:00,19.29,10646,Netherlands
195003,47380,Blue T-Shirt,3,2023-01-07 22:00:00,17.49,10771,Netherlands
195259,58320,Pen Set,7,2023-01-07 23:00:00,25.82,10986,France
169163,57414,Blue T-Shirt,3,2023-01-08 00:00:00,17.73,10819,India
125939,25577,Notebook,12,2023-01-08 01:00:00,11.63,10758,United Kingdom
148925,98009,Red Plate,7,2023-01-08 02:00:00,17.2,10472,Spain
142941,65409,Blue T-Shirt,14,2023-01-08 03:00:00,48.81,10670,India
121834,38625,Blue T-Shirt,11,2023-01-08 04:00:00,22.03,10714,Spain
118047,91040,Pen Set,10,2023-01-08 05:00:00,23.62,10111,India
126105,34089,Notebook,10,2023-01-08 06:00:00,29.89,10979,India
175766,46487,Red Plate,11,2023-01-08 07:00:00,49.21,10291,Netherlands
115707,75838,Pen Set,11,2023-01-08 08:00:00,13.98,10949,United Kingdom
121976,60138,Pen Set,6,2023-01-08 09:00:00,34.86,10821,India
144262,52823,Water Bottle,2,2023-01-08 10:00:00,36.51,10630,France
123776,47208,Notebook,11,2023-01-08 11:00:00,31.35,10382,Spain
130080,64061,Red Plate,3,2023-01-08 12:00:00,6.71,10016,Netherlands
166842,40659,Notebook,6,2023-01-08 13:00:00,34.65,10492,Spain
161373,41890,Red Plate,14,2023-01-08 14:00:00,5.54,10330,France
106776,89134,Notebook,4,2023-01-08 15:00:00,30.82,10925,France
192787,57055,Pen Set,6,2023-01-08 16:00:00,37.63,10738,India
155016,29508,Pen Set,1,2023-01-08 17:00:00,12.52,10872,France
109474,52287,White Mug,10,2023-01-08 18:00:00,42.48,10485,United Kingdom
158053,88916,Blue T-Shirt,12,2023-01-08 19:00:00,3.94,10405,France
121959,36984,Water Bottle,1,2023-01-08 20:00:00,42.58,10116,India
105530,18125,Notebook,3,2023-01-08 21:00:00,24.37,10554,Spain
194856,46059,Water Bottle,8,2023-01-08 22:00:00,12.84,10879,France
103748,79569,White Mug,8,2023-01-08 23:00:00,8.85,10114,Netherlands
197504,27087,Blue T-Shirt,11,2023-01-09 00:00:00,47.78,10794,Netherlands
198098,15704,Notebook,4,2023-01-09 01:00:00,5.95,10548,Netherlands
113545,70576,Red Plate,6,2023-01-09 02:00:00,11.96,10813,Spain
166199,83384,Blue T-Shirt,8,2023-01-09 03:00:00,19.02,10624,Germany
134766,97128,Pen Set,7,2023-01-09 04:00:00,31.96,10546,Netherlands
173530,82460,White Mug,11,2023-01-09 05:00:00,28.38,10643,Netherlands
193557,37208,Blue T-Shirt,7,2023-01-09 06:00:00,8.47,10335,Germany
161087,95150,Blue T-Shirt,13,2023-01-09 07:00:00,16.26,10335,Spain
195839,76024,Pen Set,4,2023-01-09 08:00:00,13.84,10980,Netherlands
168840,49882,Notebook,9,2023-01-09 09:00:00,12.64,10921,India
154384,35923,Red Plate,12,2023-01-09 10:00:00,22.03,10888,Spain
151005,39165,Pen Set,10,2023-01-09 11:00:00,35.94,10739,Netherlands
146576,77203,Red Plate,6,2023-01-09 12:00:00,12.83,10146,Netherlands
139353,14114,Notebook,14,2023-01-09 13:00:00,19.92,10121,Germany
162003,74965,Blue T-Shirt,12,2023-01-09 14:00:00,21.07,10080,India
183211,46321,Red Plate,11,2023-01-09 15:00:00,48.88,10684,Spain
152733,83297,White Mug,3,2023-01-09 16:00:00,47.85,10665,France
165318,35426,White Mug,5,2023-01-09 17:00:00,40.51,10661,United Kingdom
189474,27772,Pen Set,5,2023-01-09 18:00:00,13.98,10374,India
123664,13712,Notebook,14,2023-01-09 19:00:00,5.73,10569,France
167172,11367,Pen Set,5,2023-01-09 20:00:00,17.55,10062,India
185616,61924,Pen Set,8,2023-01-09 21:00:00,15.17,10503,France
193264,13726,Water Bottle,9,2023-01-09 22:00:00,26.53,10667,France
126736,99152,Pen Set,13,2023-01-09 23:00:00,39.44,10448,India
194209,37723,Water Bottle,9,2023-01-10 00:00:00,43.27,10427,Germany
100854,19108,White Mug,13,2023-01-10 01:00:00,42.63,10867,India
190084,87714,White Mug,6,2023-01-10 02:00:00,19.58,10426,India
138623,45643,Pen Set,6,2023-01-10 03:00:00,35.14,10420,France
107392,41324,White Mug,9,2023-01-10 04:00:00,17.36,10321,United Kingdom
155680,93360,Notebook,4,2023-01-10 05:00:00,5.39,10912,France
146717,18927,Water Bottle,6,2023-01-10 06:00:00,35.82,10679,Netherlands
187092,32443,Water Bottle,4,2023-01-10 07:00:00,2.97,10165,India
150859,89973,Pen Set,11,2023-01-10 08:00:00,21.94,10596,Spain
126309,73449,White Mug,1,2023-01-10 09:00:00,18.15,10956,India
187455,86743,Red Plate,7,2023-01-10 10:00:00,35.44,10648,Germany
163734,70233,Water Bottle,14,2023-01-10 11:00:00,38.9,10460,Spain
170467,35537,Pen Set,10,2023-01-10 12:00:00,16.94,10458,France
152662,87576,Pen Set,11,2023-01-10 13:00:00,41.05,10188,Germany
198506,32612,Notebook,12,2023-01-10 14:00:00,16.46,10463,India
112688,16471,Blue T-Shirt,6,2023-01-10 15:00:00,23.7,10911,France
125342,45631,Blue T-Shirt,9,2023-01-10 16:00:00,37.03,10378,France
137157,41348,Water Bottle,7,2023-01-10 17:00:00,35.41,10001,Netherlands
167863,74732,Notebook,13,2023-01-10 18:00:00,49.4,10617,Netherlands
152083,11177,Notebook,7,2023-01-10 19:00:00,13.2,10363,United Kingdom
165733,14760,Notebook,2,2023-01-10 20:00:00,33.96,10071,Netherlands
189045,42779,Water Bottle,12,2023-01-10 21:00:00,31.46,10426,Spain
134698,31636,Blue T-Shirt,11,2023-01-10 22:00:00,45.97,10637,France
180623,91889,Notebook,9,2023-01-10 23:00:00,9.93,10169,Netherlands
122671,63551,White Mug,10,2023-01-11 00:00:00,38.21,10204,United Kingdom
125184,21556,Pen Set,9,2023-01-11 01:00:00,29.49,10824,India
193384,37598,Pen Set,6,2023-01-11 02:00:00,15.55,10336,Spain
142107,21563,Red Plate,13,2023-01-11 03:00:00,25.04,10998,Netherlands
186202,56819,Red Plate,3,2023-01-11 04:00:00,18.35,10471,France
151663,83770,Water Bottle,1,2023-01-11 05:00:00,30.02,10194,India
115708,36966,Water Bottle,4,2023-01-11 06:00:00,44.73,10669,France
191906,91709,Pen Set,14,2023-01-11 07:00:00,29.54,10652,India
149811,69889,White Mug,14,2023-01-11 08:00:00,32.51,10274,Spain
102811,36987,Blue T-Shirt,3,2023-01-11 09:00:00,27.14,10006,France
156250,88714,Blue T-Shirt,14,2023-01-11 10:00:00,4.93,10904,Netherlands
172082,68348,Water Bottle,12,2023-01-11 11:00:00,13.56,10978,Netherlands
134754,34596,White Mug,1,2023-01-11 12:00:00,25.87,10565,United Kingdom
195742,43174,Water Bottle,3,2023-01-11 13:00:00,17.24,10615,India
111411,74106,Blue T-Shirt,14,2023-01-11 14:00:00,11.13,10853,United Kingdom
102911,79967,Water Bottle,14,2023-01-11 15:00:00,26.45,10849,Germany
167270,69182,Notebook,4,2023-01-11 16:00:00,17.83,10572,Netherlands
183763,97163,Water Bottle,13,2023-01-11 17:00:00,14.76,10598,India
108680,49310,Pen Set,13,2023-01-11 18:00:00,24.54,10769,Spain
184896,66088,Water Bottle,14,2023-01-11 19:00:00,8.83,10177,United Kingdom
183879,18906,Pen Set,8,2023-01-11 20:00:00,46.57,10241,Spain
171295,46914,White Mug,9,2023-01-11 21:00:00,43.72,10202,Spain
188614,55379,Blue T-Shirt,3,2023-01-11 22:00:00,36.11,10542,Spain
111111,88612,Red Plate,6,2023-01-11 23:00:00,7.55,10800,United Kingdom
137504,47650,Red Plate,10,2023-01-12 00:00:00,39.35,10461,Germany
101802,56881,Blue T-Shirt,11,2023-01-12 01:00:00,40.88,10079,United Kingdom
108155,56413,Red Plate,5,2023-01-12 02:00:00,38.97,10522,France
173656,16012,Water Bottle,6,2023-01-12 03:00:00,7.91,10416,Netherlands
139384,60115,White Mug,4,2023-01-12 04:00:00,33.09,10765,United Kingdom
147254,17151,White Mug,10,2023-01-12 05:00:00,42.13,10383,United Kingdom
121918,67716,Blue T-Shirt,6,2023-01-12 06:00:00,29.92,10390,Germany
185981,46378,Red Plate,7,2023-01-12 07:00:00,33.2,10895,France
160713,52652,Water Bottle,9,2023-01-12 08:00:00,24.27,10798,United Kingdom
130306,82430,White Mug,10,2023-01-12 09:00:00,27.61,10687,Netherlands
116646,23467,White Mug,7,2023-01-12 10:00:00,4.13,10125,Netherlands
146843,41010,Notebook,6,2023-01-12 11:00:00,32.85,10493,United Kingdom
196601,64691,Notebook,1,2023-01-12 12:00:00,6.37,10046,Spain
190735,74157,White Mug,2,2023-01-12 13:00:00,23.16,10717,Spain
116371,22289,Blue T-Shirt,1,2023-01-12 14:00:00,16.4,10475,France
177371,54976,Pen Set,9,2023-01-12 15:00:00,28.41,10948,Netherlands
102049,53596,Pen Set,10,2023-01-12 16:00:00,8.84,10618,Spain
131616,33171,Water Bottle,10,2023-01-12 17:00:00,35.35,10463,Netherlands
120932,96365,White Mug,9,2023-01-12 18:00:00,40.26,10786,France
129855,54139,White Mug,7,2023-01-12 19:00:00,10.26,10848,France
161434,58713,White Mug,13,2023-01-12 20:00:00,7.45,10122,Spain
172694,39734,Blue T-Shirt,2,2023-01-12 21:00:00,9.41,10473,United Kingdom
143016,82588,Notebook,6,2023-01-12 22:00:00,44.16,10133,India
107400,73646,White Mug,11,2023-01-12 23:00:00,27.59,10618,Germany
142642,13654,White Mug,4,2023-01-13 00:00:00,24.69,10816,India
115151,99022,Red Plate,1,2023-01-13 01:00:00,7.57,10840,India
151407,28743,Blue T-Shirt,1,2023-01-13 02:00:00,33.35,10561,Netherlands
166690,58368,Water Bottle,12,2023-01-13 03:00:00,43.73,10848,France
104499,84172,White Mug,5,2023-01-13 04:00:00,41.84,10606,Netherlands
106295,16441,Red Plate,12,2023-01-13 05:00:00,32.24,10779,Spain
159040,34611,Pen Set,2,2023-01-13 06:00:00,6.08,10022,Germany
112183,22149,Water Bottle,4,2023-01-13 07:00:00,7.84,10565,Spain
129299,69189,White Mug,1,2023-01-13 08:00:00,4.84,10885,United Kingdom
112874,31675,White Mug,4,2023-01-13 09:00:00,14.73,10765,Germany
132711,81031,Red Plate,11,2023-01-13 10:00:00,8.94,10964,Netherlands
105539,52668,Blue T-Shirt,6,2023-01-13 11:00:00,14.85,10234,Netherlands
153351,23673,White Mug,10,2023-01-13 12:00:00,20.79,10995,Spain
161267,86666,Pen Set,4,2023-01-13 13:00:00,47.29,10058,Netherlands
148354,98204,White Mug,1,2023-01-13 14:00:00,31.49,10163,Netherlands
102557,90758,Pen Set,7,2023-01-13 15:00:00,42.16,10770,India
138360,75429,Water Bottle,14,2023-01-13 16:00:00,36.24,10825,United Kingdom
182018,33669,Water Bottle,2,2023-01-13 17:00:00,7.84,10215,India
102200,44068,Notebook,9,2023-01-13 18:00:00,37.46,10182,Netherlands
168497,98789,Notebook,13,2023-01-13 19:00:00,15.57,10568,France
146975,19435,Pen Set,3,2023-01-13 20:00:00,32.86,10656,India
121357,62249,Blue T-Shirt,8,2023-01-13 21:00:00,18.7,10934,Netherlands
177505,47384,White Mug,13,2023-01-13 22:00:00,49.89,10089,Netherlands
102869,91929,White Mug,8,2023-01-13 23:00:00,15.02,10963,United Kingdom
161135,86153,Notebook,3,2023-01-14 00:00:00,15.76,10310,Spain
150108,85388,Pen Set,4,2023-01-14 01:00:00,46.71,10556,Germany
194179,41401,White Mug,2,2023-01-14 02:00:00,3.67,10971,India
190272,81831,White Mug,4,2023-01-14 03:00:00,35.59,10256,India
138467,44084,Blue T-Shirt,11,2023-01-14 04:00:00,36.95,10532,India
123328,65826,Red Plate,11,2023-01-14 05:00:00,42.23,10978,Netherlands
191412,46451,Notebook,11,2023-01-14 06:00:00,48.79,10532,United Kingdom
186831,17227,Notebook,14,2023-01-14 07:00:00,48.84,10051,Netherlands
103987,41910,Red Plate,9,2023-01-14 08:00:00,5.6,10337,Netherlands
158871,46041,White Mug,2,2023-01-14 09:00:00,41.54,10170,Spain
122399,98920,Blue T-Shirt,12,2023-01-14 10:00:00,33.2,10947,France
146214,75681,Blue T-Shirt,12,2023-01-14 11:00:00,33.25,10066,United Kingdom
199522,91571,Notebook,13,2023-01-14 12:00:00,8.6,10624,India
186416,75481,Blue T-Shirt,3,2023-01-14 13:00:00,33.38,10299,Germany
170271,78576,Water Bottle,11,2023-01-14 14:00:00,49.17,10671,India
144064,74174,Red Plate,11,2023-01-14 15:00:00,45.81,10777,Netherlands
170091,36160,White Mug,4,2023-01-14 16:00:00,23.36,10831,United Kingdom
140818,27633,Water Bottle,5,2023-01-14 17:00:00,4.4,10231,United Kingdom
145525,27014,Red Plate,1,2023-01-14 18:00:00,19.71,10974,United Kingdom
119830,90532,Pen Set,7,2023-01-14 19:00:00,41.75,10836,France
117429,59104,Notebook,14,2023-01-14 20:00:00,35.82,10067,India
106893,51621,Blue T-Shirt,10,2023-01-14 21:00:00,24.32,10505,France
179909,87231,Pen Set,7,2023-01-14 22:00:00,5.12,10027,Spain
147333,78388,Blue T-Shirt,9,2023-01-14 23:00:00,22.78,10948,Germany
103436,26014,Water Bottle,4,2023-01-15 00:00:00,24.78,10627,Spain
174290,43755,White Mug,14,2023-01-15 01:00:00,46.61,10050,Netherlands
176213,50390,White Mug,14,2023-01-15 02:00:00,32.95,10692,France
105895,33711,White Mug,6,2023-01-15 03:00:00,17.3,10259,France
119738,67993,Blue T-Shirt,11,2023-01-15 04:00:00,27.45,10590,Spain
130746,84696,Pen Set,2,2023-01-15 05:00:00,5.64,10784,Netherlands
149377,37213,White Mug,12,2023-01-15 06:00:00,48.7,10619,United Kingdom
148404,67784,Pen Set,12,2023-01-15 07:00:00,19.6,10962,Netherlands
154045,17421,Blue T-Shirt,14,2023-01-15 08:00:00,25.2,10585,India
197888,96936,Water Bottle,4,2023-01-15 09:00:00,19.38,10686,Spain
139790,27727,Pen Set,2,2023-01-15 10:00:00,34.92,10183,Netherlands
105600,14358,Water Bottle,10,2023-01-15 11:00:00,33.96,10022,United Kingdom
194660,75108,Blue T-Shirt,5,2023-01-15 12:00:00,36.48,10785,Netherlands
193179,42117,Blue T-Shirt,7,2023-01-15 13:00:00,15.24,10128,France
140764,98700,Notebook,13,2023-01-15 14:00:00,17.49,10290,Germany
174543,41910,Blue T-Shirt,1,2023-01-15 15:00:00,8.45,10831,France
145714,65754,Blue T-Shirt,10,2023-01-15 16:00:00,33.64,10500,Germany
156835,72438,Red Plate,10,2023-01-15 17:00:00,4.39,10185,Netherlands
173744,39371,White Mug,7,2023-01-15 18:00:00,30.89,10478,India
156491,61501,Notebook,10,2023-01-15 19:00:00,43.81,10570,Netherlands
118589,70946,Notebook,13,2023-01-15 20:00:00,44.81,10491,United Kingdom
143484,48467,Notebook,6,2023-01-15 21:00:00,23.83,10512,Netherlands
182989,27625,Red Plate,6,2023-01-15 22:00:00,24.32,10642,Germany
